"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0032526","response to retinoic acid",0.0136468237009498,435,1.50647711034412,4.44089209850063e-16,2.81408230051738e-12,324556,46,101,1.07229833747805,0.298583394997376,0.759314041661425
"GO:0010458","exit from mitosis",0.00290229043265798,134,2.18207055833636,6.66133814775094e-16,2.81408230051738e-12,279461,13,30,1.02023747616571,0.531854350378772,0.869847848599112
"GO:0060509","type I pneumocyte differentiation",0.00183785979154275,98,2.52010456300288,1.33226762955019e-15,3.28309601727028e-12,385662,6,8,1.76579563182527,0.066894447757715,0.393656569353712
"GO:0071300","cellular response to retinoic acid",0.00989733593372069,333,1.59012323538956,1.55431223447522e-15,3.28309601727028e-12,347283,34,64,1.25077190587623,0.0554972692650493,0.36608001623234
"GO:0051155","positive regulation of striated muscle cell differentiation",0.00652934024551865,236,1.70823479603728,2.02060590481778e-14,3.41441985796109e-11,242209,24,39,1.44885795431817,0.0126834834868784,0.163145373999838
"GO:0007096","regulation of exit from mitosis",0.0012250358448606,73,2.81630006438793,2.83106871279415e-14,3.98661659239963e-11,217323,6,18,0.78479805858901,0.847073967655238,0.971484722779844
"GO:0051149","positive regulation of muscle cell differentiation",0.0088548733405398,297,1.58518136158814,7.20534742981727e-14,8.69685434778944e-11,248971,36,63,1.3453681004383,0.0132607149720538,0.167918963680695
"GO:0006890","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",0.00337863811557662,140,1.95835409263752,4.70512517836141e-13,4.84543282040938e-10,200310,25,50,1.17719708788352,0.174730146091252,0.614098109939578
"GO:0061050","regulation of cell growth involved in cardiac muscle cell development",0.00153132561274405,81,2.49989825722327,5.16142684148235e-13,4.84543282040938e-10,152989,11,14,1.84988113810267,0.00676797343989,0.109127113728303
"GO:0072189","ureter development",0.00419336215812412,163,1.83708856600387,9.44688771653546e-13,7.98167543170081e-10,328451,15,17,2.07740662567679,0.00012948734281415,0.00701306768869712
"GO:0048873","homeostasis of number of cells within a tissue",0.00444227765506638,170,1.80862314036111,1.06747943817709e-12,8.19921252105292e-10,324428,22,39,1.32811979145832,0.0555495412315091,0.36608001623234
"GO:0003298","physiological muscle hypertrophy",0.00318289765134328,130,1.93030324156369,7.79309949905382e-12,4.70313554767898e-09,204286,16,20,1.88351534061362,0.000708114963187345,0.0243205826177637
"GO:0003301","physiological cardiac muscle hypertrophy",0.00318289765134328,130,1.93030324156369,7.79309949905382e-12,4.70313554767898e-09,204286,16,20,1.88351534061362,0.000708114963187345,0.0243205826177637
"GO:0061049","cell growth involved in cardiac muscle cell development",0.00318289765134328,130,1.93030324156369,7.79309949905382e-12,4.70313554767898e-09,204286,16,20,1.88351534061362,0.000708114963187345,0.0243205826177637
"GO:0090269","fibroblast growth factor production",0.000838666780898927,53,2.98669785348986,1.05315756115942e-11,5.56133014639748e-09,155081,4,6,1.56959611717802,0.215095438671894,0.623017264771626
"GO:0090270","regulation of fibroblast growth factor production",0.000838666780898927,53,2.98669785348986,1.05315756115942e-11,5.56133014639748e-09,155081,4,6,1.56959611717802,0.215095438671894,0.623017264771626
"GO:2000353","positive regulation of endothelial cell apoptotic process",0.00219099237507966,97,2.09235672668054,5.58548762796818e-11,2.7654976907253e-08,155553,9,19,1.11523934641596,0.416765227311089,0.824069601111956
"GO:0032225","regulation of synaptic transmission, dopaminergic",0.000853747410938239,52,2.87858332581127,5.89169824039004e-11,2.7654976907253e-08,274340,5,8,1.47149635985439,0.21425174040748,0.623017264771626
